Title,Abstract
METHOD AND SYSTEM FOR MAKING PERSONALIZED NUTRITIONAL AND PHARMACEUTICAL FORMULATIONS USING ADDITIVE MANUFACTURING,"The presently disclosed subject matter is directed to a system and method of preparing personalized nutritional and/or pharmaceutical formulations using additive manufacturing technology. Active pharmaceutical or dietary supplement ingredients are suspended in thixotropic stable carrier medias. The thixotropic suspensions are deposited onto a surface of a solid substrate, which can be a snack bar or small wafer used as a mechanical carrier. The disclosed system enables each additive active ingredient to be variably dosed based on a formula that is determined for each specific individual and manufactured on demand. Once the active ingredients are deposited on substrate, the entire assembly can be enrobed with one or more edible solid coatings to seal the active ingredients and provide taste-masking agent characteristics to the assembly."
WEARABLE PERSONALIZED MEDICINAL PLATFORM,"An apparatus for personal health maintenance has a sensor attached at least indirectly to a carrier member in turn attachable to a user or subject and configured for measurement of at least one physiological parameter of the user. A reservoir contains a preselected composition. An electronic processor is operatively connected to the sensor for receiving a signal therefrom encoding a measurement of the physiological parameter, the processor being configured for determining a divergence of the physiological parameter from a predetermined magnitude, the processor being operatively connected to a dispensing mechanism for ejecting, from the reservoir, an amount of the composition to be administered to the user to reduce divergence of the physiological parameter from the predetermined magnitude. The dispensing mechanism includes an expandable polymer composite layer with gas-filled micro-bubbles or microspheres expandable by operation of a heating element."
Method For Security Purposes,"A method for security purposes is disclosed, in which a challenge signal is applied to a physical object and a response signal is received from the physical object. The response signal comprises a plurality of characteristic resonant optical mode or a characteristic of the response signal is determined based on a spatial resolution of at least two frequency components of the response signal that is affected by luminescence effect."
CUSTOM-PILL COMPOUNDING SYSTEM WITH FILLER-FREE CAPABILITY,"A system and associated aspects thereof are disclosed regarding custom-compounding of drug products such as pills and polypills for particular patients, herein involving adaptations of ""micro-dosing"" technology to permit sufficiently small and precise amounts of drug substances or optionally formulations thereof to be controllably and automatably handled and dispensed so as to help create customized drug products that do not necessitate bulking or dilution of the drug substances."
ACOUSTICALLY RESPONSIVE BIOMATERIALS,"A method and apparatus for degrading a hypodermal tissue scaffold involves exposing the scaffold to a low-intensity focused ultrasonic beam such as to burst gas vesicles trapped in the silk fibroin from which scaffold is constructed. The rate of degradation van be controlled using ultrasonic beams of varying intensities. In one embodiment, the ultrasonic beams are administered trans-dermally to a hypodermal scaffold."
Custom-pill compounding system with filler-free capability,"A system and associated aspects thereof are disclosed regarding custom-compounding of drug products such as pills and polypills for particular patients, herein involving adaptations of “micro-dosing” technology to permit sufficiently small and precise amounts of drug substances or optionally formulations thereof to be controllably and automatably handled and dispensed so as to help create customized drug products that do not necessitate bulking or dilution of the drug substances."
USE OF GALECTIN-3 FOR RISK ASSESSMENT AND DETECTION OF PREECLAMPSIA AND RELATED CONDITIONS,"Described herein are materials and methods for predicting and/or monitoring preeclampsia and related conditions, including eclampsia, HELLP (hemolysis, elevated liver enzymes, and low platelet count) syndrome, left ventricular dysfunction, and heart failure, in a pregnant or post-partum woman. More specifically, use of the endogenous protein galectin-3 in predicting and/or monitoring preeclampsia and related conditions in a pregnant or post¬ partum woman is described. Also described are methods of preventing and/or treating preeclampsia and related conditions by inhibiting galectin-3."
Systems and Methods for Mobile Device Analysis of Nucleic Acids and Proteins,"A portable system for extracting, optionally amplifying, and detecting nucleic acids or proteins using a compact integrated chip in combination with a mobile device system for analyzing detected signals, and comparing and distributing the results via a wireless network. Related systems and methods are provided."
"COSMETIC COMPOSITIONS FOR SKIN CARE, SPECIALLY AS CELLULITE PREVENTING OR REDUCING AGENT","The invention is relative to cosmetic compositions for skin care, specially as cellulite manifestation preventive agent or reducing coadjutor in human skin, in form of aqueous composition, containing demineralized water in proportion corresponding to complete 100 %, by weight, containing, in a ponderal basis: (a) a vasoactive agent, chosen between: (i) xanthines and its derivatives, in a 0.5 to 10.0 % ratio"
PRECISION PRESCRIPTION OF ENERGY-RESTRICTED PERSONALIZED DIETS WITH DIFFERENT MACRONUTRIENT CONTENT IN SUBJECTS WITH EXCESSIVE BODY WEIGHT,The present invention refers to anin vitromethod to predict the percentage of body mass index (BMI) reduction in response to a diet in a patient with a BMI of at least 25 kg/m<sup>2</sup>comprising detecting in an isolated sample of the subject the genotype of certain SNPs. The present invention also refers to anin vitromethod for deciding or recommending a patient with a BMI of at least 25 kg/m<sup>2</sup>to follow an energy-restricted diet. The present invention also refers to the use of the SNPs of the invention for said methods.
